date,nav,benchmark_nav
2019-12-30,9991.6667,10000.0000
2019-12-31,10017.3903,10024.2924
2020-01-02,10066.6198,10118.0382
2020-01-03,9988.1704,10041.4210
2020-01-06,9945.9253,10079.7311
2020-01-07,10030.0116,10051.3909
2020-01-08,10062.8623,10104.9617
2020-01-09,10126.7246,10173.4780
2020-01-10,10069.3787,10144.1985
2020-01-13,10179.9346,10213.9660
2020-01-14,10165.7861,10198.3934
2020-01-15,10186.1976,10221.4429
2020-01-16,10343.7839,10306.4648
2020-01-17,10351.7810,10338.5451
2020-01-21,10274.2150,10318.2974
2020-01-22,10309.6187,10319.5465
2020-01-23,10395.0264,10331.3833
2020-01-24,10390.2806,10239.5044
2020-01-27,10230.3120,10075.3702
2020-01-28,10374.8643,10180.9518
2020-01-29,10372.1597,10172.5440
2020-01-30,10403.1136,10205.5562
2020-01-31,10208.2882,10020.2404
2020-02-03,10338.4446,10094.6808
2020-02-04,10503.5862,10248.5372
2020-02-05,10509.1562,10366.8854
2020-02-06,10522.6171,10401.7707
2020-02-07,10409.1636,10346.3340
2020-02-10,10446.1871,10423.5690
2020-02-11,10500.2754,10441.6326
2020-02-12,10633.6974,10508.9071
2020-02-13,10662.4597,10497.6964
2020-02-14,10423.6150,10514.5109
2020-02-18,10358.0481,10487.4207
2020-02-19,10472.4294,10537.5625
2020-02-20,10487.6259,10494.2684
2020-02-21,10345.2706,10386.1980
2020-02-24,10020.5765,10041.7330
2020-02-25,9789.3687,9737.4481
2020-02-26,9769.6740,9701.6309
2020-02-27,9426.3724,9265.9152
2020-02-28,9432.9476,9226.9841
2020-03-02,9568.3135,9626.5727
2020-03-03,9318.8285,9350.9402
2020-03-04,9623.3369,9743.9911
2020-03-05,9337.4650,9420.0805
2020-03-06,9269.2799,9264.3582
2020-03-09,8809.8870,8540.8611
2020-03-10,9175.1033,8982.8068
2020-03-11,8665.5584,8544.9095
2020-03-12,7883.3955,7727.3566
2020-03-13,8394.3692,8387.9423
2020-03-16,7605.3733,7470.1012
2020-03-17,8059.9586,7873.4273
2020-03-18,7812.0186,7474.7721
2020-03-19,7907.2421,7490.6567
2020-03-20,7516.8615,7167.8523
2020-03-23,7286.3187,6984.5833
2020-03-24,8053.1315,7617.4095
2020-03-25,8093.4020,7731.4440
2020-03-26,8585.1504,8182.8812
2020-03-27,8229.0957,7939.1490
2020-03-30,8595.4392,8196.9780
2020-03-31,8487.0092,8074.7999
2020-04-01,8148.3579,7711.3924
2020-04-02,8187.9164,7889.3369
2020-04-03,8017.2098,7775.3049
2020-04-06,8665.7002,8297.5413
2020-04-07,8844.6225,8305.9995
2020-04-08,9171.8136,8584.8213
2020-04-09,9483.6355,8715.4566
2020-04-13,9266.3130,8635.8841
2020-04-14,9324.4658,8890.5815
2020-04-15,8854.6051,8701.6739
2020-04-16,8811.0956,8743.6518
2020-04-17,9229.4552,8979.8665
2020-04-20,8975.1339,8821.6575
2020-04-21,8760.5889,8553.8040
2020-04-22,8909.9458,8743.6518
2020-04-23,9059.3346,8743.0247
2020-04-24,9137.9319,8864.8913
2020-04-27,9607.6198,8992.7091
2020-04-28,9799.3358,8951.3578
2020-04-29,10238.2956,9185.6900
2020-04-30,9820.4953,9100.1668
2020-05-01,9536.0809,8859.2563
2020-05-04,9491.6982,8883.6901
2020-05-05,9489.6630,8965.7708
2020-05-06,9284.8913,8904.9924
2020-05-07,9598.7846,9012.4481
2020-05-08,9996.1195,9161.5661
2020-05-11,9708.0835,9163.4475
2020-05-12,9367.8240,8980.8067
2020-05-13,9041.7747,8821.9737
2020-05-14,9121.2308,8927.5500
2020-05-15,9198.1323,8968.5872
2020-05-18,9786.4429,9241.7673
2020-05-19,9663.0706,9146.8442
2020-05-20,9959.8693,9302.2285
2020-05-21,9932.6720,9238.0065
2020-05-22,9893.4500,9255.5511
2020-05-26,10375.5736,9369.5872
2020-05-27,10717.2115,9508.9953
2020-05-28,10371.0807,9491.4538
2020-05-29,10273.9157,9533.7453
2020-06-01,10348.1677,9572.2791
2020-06-02,10487.2435,9651.5370
2020-06-03,10910.1031,9779.9799
2020-06-04,11089.2650,9754.2938
2020-06-05,11484.3039,10004.2923
2020-06-08,11677.5630,10125.2177
2020-06-09,11357.1706,10049.7195
2020-06-10,10974.0077,9993.6411
2020-06-11,10106.7484,9417.5168
2020-06-12,10312.4615,9530.2986
2020-06-15,10419.6841,9619.2706
2020-06-16,10826.2351,9804.4179
2020-06-17,10664.2361,9763.6937
2020-06-18,10578.7130,9767.4535
2020-06-19,10480.5078,9711.6310
2020-06-22,10525.0812,9773.9341
2020-06-23,10535.9589,9818.9307
2020-06-24,10163.5472,9568.4632
2020-06-25,10262.7720,9671.0421
