date,nav,benchmark_nav
2019-12-30,9990.4000,10000.0000
2019-12-31,10069.8881,10024.2924
2020-01-02,10086.4511,10118.0382
2020-01-03,10019.9879,10041.4210
2020-01-06,9996.5190,10079.7311
2020-01-07,9987.5178,10051.3909
2020-01-08,9996.0106,10104.9617
2020-01-09,9937.5535,10173.4780
2020-01-10,9918.9163,10144.1985
2020-01-13,9970.9047,10213.9660
2020-01-14,9997.2958,10198.3934
2020-01-15,9968.1176,10221.4429
2020-01-16,10053.1620,10306.4648
2020-01-17,10014.3180,10338.5451
2020-01-21,9897.2664,10318.2974
2020-01-22,9868.2677,10319.5465
2020-01-23,9832.2178,10331.3833
2020-01-24,9701.0468,10239.5044
2020-01-27,9531.7340,10075.3702
2020-01-28,9634.5345,10180.9518
2020-01-29,9644.5064,10172.5440
2020-01-30,9624.2015,10205.5562
2020-01-31,9455.6891,10020.2404
2020-02-03,9516.4741,10094.6808
2020-02-04,9660.4647,10248.5372
2020-02-05,9832.5856,10366.8854
2020-02-06,9757.5380,10401.7707
2020-02-07,9638.7516,10346.3340
2020-02-10,9677.8568,10423.5690
2020-02-11,9777.8848,10441.6326
2020-02-12,9880.2137,10508.9071
2020-02-13,9875.2935,10497.6964
2020-02-14,9836.4047,10514.5109
2020-02-18,9743.6907,10487.4207
2020-02-19,9772.8087,10537.5625
2020-02-20,9815.5705,10494.2684
2020-02-21,9731.6763,10386.1980
2020-02-24,9384.9049,10041.7330
2020-02-25,9017.8890,9737.4481
2020-02-26,8881.6686,9701.6309
2020-02-27,8572.7444,9265.9152
2020-02-28,8536.5408,9226.9841
2020-03-02,8766.1255,9626.5727
2020-03-03,8552.9101,9350.9402
2020-03-04,8754.3241,9743.9911
2020-03-05,8399.9945,9420.0805
2020-03-06,8162.8667,9264.3582
2020-03-09,7224.1274,8540.8611
2020-03-10,7470.3829,8982.8068
2020-03-11,7047.4979,8544.9095
2020-03-12,6114.1440,7727.3566
2020-03-13,6513.4574,8387.9423
2020-03-16,5825.9305,7470.1012
2020-03-17,5921.6189,7873.4273
2020-03-18,5345.9802,7474.7721
2020-03-19,5594.9714,7490.6567
2020-03-20,5540.4672,7167.8523
2020-03-23,5314.6804,6984.5833
2020-03-24,5844.7589,7617.4095
2020-03-25,6093.5883,7731.4440
2020-03-26,6384.2384,8182.8812
2020-03-27,6162.8117,7939.1490
2020-03-30,6205.8442,8196.9780
2020-03-31,6108.7415,8074.7999
2020-04-01,5468.4358,7711.3924
2020-04-02,5400.5310,7889.3369
2020-04-03,5271.8392,7775.3049
2020-04-06,5911.0422,8297.5413
2020-04-07,6187.2693,8305.9995
2020-04-08,6611.1664,8584.8213
2020-04-09,6989.3961,8715.4566
2020-04-13,6690.5961,8635.8841
2020-04-14,6761.6835,8890.5815
2020-04-15,6380.6402,8701.6739
2020-04-16,6160.5596,8743.6518
2020-04-17,6644.5711,8979.8665
2020-04-20,6401.3580,8821.6575
2020-04-21,6186.0439,8553.8040
2020-04-22,6207.3752,8743.6518
2020-04-23,6315.1682,8743.0247
2020-04-24,6404.0644,8864.8913
2020-04-27,6772.0123,8992.7091
2020-04-28,7094.2190,8951.3578
2020-04-29,7707.8967,9185.6900
2020-04-30,7468.7371,9100.1668
2020-05-01,6913.2461,8859.2563
2020-05-04,6975.5590,8883.6901
2020-05-05,6787.9523,8965.7708
2020-05-06,6562.7345,8904.9924
2020-05-07,6787.1067,9012.4481
2020-05-08,7188.2682,9161.5661
2020-05-11,6936.1715,9163.4475
2020-05-12,6673.8422,8980.8067
2020-05-13,6323.3793,8821.9737
2020-05-14,6463.0439,8927.5500
2020-05-15,6487.1647,8968.5872
2020-05-18,7153.8149,9241.7673
2020-05-19,6991.2147,9146.8442
2020-05-20,7174.7484,9302.2285
2020-05-21,7244.8692,9238.0065
2020-05-22,7168.0864,9255.5511
2020-05-26,7732.4309,9369.5872
2020-05-27,8202.1863,9508.9953
2020-05-28,7822.7849,9491.4538
2020-05-29,7571.7733,9533.7453
2020-06-01,7885.8466,9572.2791
2020-06-02,8076.1688,9651.5370
2020-06-03,8571.9587,9779.9799
2020-06-04,8803.7045,9754.2938
2020-06-05,9556.0474,10004.2923
2020-06-08,10253.3569,10125.2177
2020-06-09,9740.1912,10049.7195
2020-06-10,8997.0914,9993.6411
2020-06-11,7993.2321,9417.5168
2020-06-12,8495.8631,9530.2986
2020-06-15,8542.4994,9619.2706
2020-06-16,8840.2024,9804.4179
2020-06-17,8490.4720,9763.6937
2020-06-18,8536.7173,9767.4535
2020-06-19,8330.8428,9711.6310
2020-06-22,8317.4180,9773.9341
2020-06-23,8372.7032,9818.9307
2020-06-24,7795.7401,9568.4632
2020-06-25,7867.3292,9671.0421
2020-06-26,7589.9607,9441.3401
2020-06-29,7964.9003,9580.1044
2020-06-30,8102.5446,9702.8228
2020-07-01,7958.9895,9770.7879
2020-07-02,7992.7391,9824.5948
2020-07-06,8076.6021,9976.2599
2020-07-07,7788.2846,9873.3668
2020-07-08,7937.8198,9948.8868
2020-07-09,7627.7890,9892.2458
2020-07-10,7955.6091,9993.2511
2020-07-13,7913.1647,9906.7181
2020-07-14,7979.1726,10035.0996
2020-07-15,8453.0658,10127.2978
2020-07-16,8338.4416,10093.9434
2020-07-17,8195.4407,10123.2052
2020-07-20,8034.6045,10205.0174
2020-07-21,8304.0023,10226.7316
2020-07-22,8266.5788,10284.9410
2020-07-23,8293.6572,10162.2226
2020-07-24,8134.0464,10096.7723
2020-07-27,8036.9979,10170.4046
2020-07-28,8037.5500,10105.8988
2020-07-29,8223.0621,10230.1887
2020-07-30,8008.1677,10193.6882
2020-07-31,7919.7106,10274.2389
2020-08-03,7934.1254,10345.6715
2020-08-04,8025.0496,10385.6302
2020-08-05,8213.6092,10450.1350
2020-08-06,8136.1347,10519.9878
2020-08-07,8407.8107,10527.5427
2020-08-10,8750.0854,10559.0104
2020-08-11,8818.0908,10471.8470
2020-08-12,8850.9707,10617.8501
2020-08-13,8685.9705,10598.6539
2020-08-14,8815.7511,10598.9711
2020-08-17,8761.9684,10632.6385
2020-08-18,8550.2193,10655.6069
2020-08-19,8516.8756,10611.2447
2020-08-20,8405.5803,10644.2787
2020-08-21,8334.1963,10682.0398
2020-08-24,8742.4697,10790.2828
2020-08-25,8737.4377,10828.0407
2020-08-26,8652.4257,10936.5999
2020-08-27,8773.2610,10960.5117
2020-08-28,8952.6962,11031.3109
2020-08-31,8744.0134,10991.3501
2020-09-01,8776.7498,11094.8724
2020-09-02,8880.2358,11255.3456
2020-09-03,8859.0830,10868.0056
