date,nav,benchmark_nav
2019-12-30,9990.3333,10000.0000
2019-12-31,10035.0894,10024.2924
2020-01-02,10032.1952,10118.0382
2020-01-03,9979.3359,10041.4210
2020-01-06,9980.3428,10079.7311
2020-01-07,9970.8680,10051.3909
2020-01-08,10002.4101,10104.9617
2020-01-09,9957.4608,10173.4780
2020-01-10,9914.3065,10144.1985
2020-01-13,9951.5195,10213.9660
2020-01-14,9999.2769,10198.3934
2020-01-15,10010.0937,10221.4429
2020-01-16,10126.9055,10306.4648
2020-01-17,10141.3824,10338.5451
2020-01-21,10044.7003,10318.2974
2020-01-22,10027.1404,10319.5465
2020-01-23,9967.1943,10331.3833
2020-01-24,9814.6554,10239.5044
2020-01-27,9612.6208,10075.3702
2020-01-28,9678.0965,10180.9518
2020-01-29,9605.6728,10172.5440
2020-01-30,9538.2544,10205.5562
2020-01-31,9281.5520,10020.2404
2020-02-03,9323.9274,10094.6808
2020-02-04,9491.8977,10248.5372
2020-02-05,9828.8475,10366.8854
2020-02-06,9824.3264,10401.7707
2020-02-07,9672.2859,10346.3340
2020-02-10,9674.1317,10423.5690
2020-02-11,9717.8619,10441.6326
2020-02-12,9795.5224,10508.9071
2020-02-13,9752.0689,10497.6964
2020-02-14,9695.7891,10514.5109
2020-02-18,9628.3722,10487.4207
2020-02-19,9662.7854,10537.5625
2020-02-20,9547.2760,10494.2684
2020-02-21,9442.8705,10386.1980
2020-02-24,9114.1026,10041.7330
2020-02-25,8842.5868,9737.4481
2020-02-26,8773.2589,9701.6309
2020-02-27,8511.1140,9265.9152
2020-02-28,8511.9380,9226.9841
2020-03-02,8724.7998,9626.5727
2020-03-03,8518.2557,9350.9402
2020-03-04,8745.5973,9743.9911
2020-03-05,8331.4880,9420.0805
2020-03-06,8217.1933,9264.3582
2020-03-09,7527.8859,8540.8611
2020-03-10,7844.2979,8982.8068
2020-03-11,7450.5408,8544.9095
2020-03-12,6614.1376,7727.3566
2020-03-13,7110.9392,8387.9423
2020-03-16,6367.7708,7470.1012
2020-03-17,6477.3760,7873.4273
2020-03-18,6033.4256,7474.7721
2020-03-19,6257.6777,7490.6567
2020-03-20,5986.7181,7167.8523
2020-03-23,5842.0139,6984.5833
2020-03-24,6427.0072,7617.4095
