date,nav,benchmark_nav
2019-12-30,9992.0000,10000.0000
2019-12-31,10033.0055,10024.2924
2020-01-02,10059.7364,10118.0382
2020-01-03,10008.2445,10041.4210
2020-01-06,10015.3586,10079.7311
2020-01-07,10028.8757,10051.3909
2020-01-08,10044.1027,10104.9617
2020-01-09,9975.1851,10173.4780
2020-01-10,9924.7376,10144.1985
2020-01-13,9990.6705,10213.9660
2020-01-14,10020.1104,10198.3934
2020-01-15,9982.9276,10221.4429
2020-01-16,10107.1961,10306.4648
2020-01-17,10108.5318,10338.5451
2020-01-21,10007.0338,10318.2974
2020-01-22,10002.7245,10319.5465
2020-01-23,9984.3350,10331.3833
2020-01-24,9898.5077,10239.5044
2020-01-27,9745.7688,10075.3702
2020-01-28,9832.9751,10180.9518
2020-01-29,9833.3587,10172.5440
2020-01-30,9852.7582,10205.5562
2020-01-31,9699.9850,10020.2404
2020-02-03,9734.1389,10094.6808
2020-02-04,9883.6355,10248.5372
2020-02-05,10091.3387,10366.8854
2020-02-06,10037.8212,10401.7707
2020-02-07,9919.0532,10346.3340
2020-02-10,9912.8958,10423.5690
2020-02-11,9966.6081,10441.6326
2020-02-12,10104.3999,10508.9071
2020-02-13,10090.1354,10497.6964
2020-02-14,9983.1245,10514.5109
2020-02-18,9944.5654,10487.4207
2020-02-19,9978.0260,10537.5625
2020-02-20,9969.0622,10494.2684
2020-02-21,9845.6823,10386.1980
2020-02-24,9530.6837,10041.7330
2020-02-25,9223.5886,9737.4481
2020-02-26,9086.1520,9701.6309
2020-02-27,8940.2501,9265.9152
2020-02-28,8922.8051,9226.9841
2020-03-02,9107.2807,9626.5727
2020-03-03,8918.9432,9350.9402
2020-03-04,9043.2443,9743.9911
2020-03-05,8764.6404,9420.0805
2020-03-06,8606.0503,9264.3582
2020-03-09,7928.7671,8540.8611
2020-03-10,8147.2560,8982.8068
2020-03-11,7763.0047,8544.9095
2020-03-12,7016.7919,7727.3566
2020-03-13,7354.3273,8387.9423
2020-03-16,6730.0621,7470.1012
2020-03-17,6783.1134,7873.4273
2020-03-18,6225.2381,7474.7721
2020-03-19,6504.9673,7490.6567
2020-03-20,6325.6041,7167.8523
2020-03-23,6174.3600,6984.5833
2020-03-24,6727.6838,7617.4095
2020-03-25,6913.1411,7731.4440
2020-03-26,7129.6456,8182.8812
2020-03-27,6901.6318,7939.1490
2020-03-30,6900.0158,8196.9780
2020-03-31,6762.8102,8074.7999
2020-04-01,6246.7098,7711.3924
2020-04-02,6225.6215,7889.3369
2020-04-03,6007.7684,7775.3049
2020-04-06,6657.3952,8297.5413
2020-04-07,6959.9600,8305.9995
2020-04-08,7300.8900,8584.8213
2020-04-09,7618.2630,8715.4566
2020-04-13,7352.0676,8635.8841
2020-04-14,7414.9674,8890.5815
2020-04-15,7044.2896,8701.6739
2020-04-16,6882.5257,8743.6518
2020-04-17,7260.0581,8979.8665
2020-04-20,7038.8403,8821.6575
2020-04-21,6796.8625,8553.8040
2020-04-22,6872.8112,8743.6518
2020-04-23,6939.6866,8743.0247
2020-04-24,7128.7139,8864.8913
2020-04-27,7490.8045,8992.7091
2020-04-28,7731.4107,8951.3578
2020-04-29,8196.7124,9185.6900
2020-04-30,7959.8715,9100.1668
2020-05-01,7496.2070,8859.2563
2020-05-04,7526.3241,8883.6901
2020-05-05,7442.8091,8965.7708
2020-05-06,7164.8609,8904.9924
2020-05-07,7370.3437,9012.4481
2020-05-08,7718.2868,9161.5661
2020-05-11,7521.8742,9163.4475
2020-05-12,7216.0098,8980.8067
2020-05-13,6857.0188,8821.9737
2020-05-14,7054.9653,8927.5500
2020-05-15,7081.8182,8968.5872
2020-05-18,7615.1728,9241.7673
2020-05-19,7444.2846,9146.8442
2020-05-20,7683.9180,9302.2285
2020-05-21,7703.6638,9238.0065
2020-05-22,7641.7376,9255.5511
2020-05-26,8100.6381,9369.5872
2020-05-27,8601.6003,9508.9953
2020-05-28,8280.2176,9491.4538
2020-05-29,8057.9347,9533.7453
2020-06-01,8264.8874,9572.2791
2020-06-02,8470.8193,9651.5370
2020-06-03,8946.5913,9779.9799
2020-06-04,9105.4806,9754.2938
2020-06-05,9606.1899,10004.2923
2020-06-08,10023.4494,10125.2177
2020-06-09,9681.5088,10049.7195
2020-06-10,9102.2613,9993.6411
2020-06-11,8247.0890,9417.5168
2020-06-12,8569.7591,9530.2986
2020-06-15,8616.5683,9619.2706
2020-06-16,8867.0219,9804.4179
2020-06-17,8611.8858,9763.6937
2020-06-18,8601.8297,9767.4535
2020-06-19,8510.1665,9711.6310
2020-06-22,8523.5451,9773.9341
2020-06-23,8538.2644,9818.9307
2020-06-24,8120.9849,9568.4632
2020-06-25,8222.3060,9671.0421
2020-06-26,7895.0350,9441.3401
2020-06-29,8217.2122,9580.1044
2020-06-30,8324.8253,9702.8228
2020-07-01,8165.7637,9770.7879
2020-07-02,8196.7032,9824.5948
2020-07-06,8289.9152,9976.2599
2020-07-07,8008.4949,9873.3668
