date,nav,benchmark_nav
2019-12-30,9990.3333,10000.0000
2019-12-31,10018.5413,10024.2924
2020-01-02,10022.7559,10118.0382
2020-01-03,9940.4232,10041.4210
2020-01-06,9905.3955,10079.7311
2020-01-07,9888.1598,10051.3909
2020-01-08,9904.7757,10104.9617
2020-01-09,9938.9121,10173.4780
2020-01-10,9945.0882,10144.1985
2020-01-13,10042.9698,10213.9660
2020-01-14,10062.9862,10198.3934
2020-01-15,10076.5100,10221.4429
2020-01-16,10184.7679,10306.4648
2020-01-17,10185.5081,10338.5451
2020-01-21,10107.3218,10318.2974
2020-01-22,10081.0870,10319.5465
2020-01-23,10099.0410,10331.3833
2020-01-24,9998.2002,10239.5044
2020-01-27,9806.1722,10075.3702
2020-01-28,9893.6563,10180.9518
2020-01-29,9855.2708,10172.5440
2020-01-30,9804.9543,10205.5562
2020-01-31,9559.9021,10020.2404
2020-02-03,9674.1094,10094.6808
2020-02-04,9801.4291,10248.5372
2020-02-05,9995.2945,10366.8854
2020-02-06,10021.1326,10401.7707
2020-02-07,9872.9516,10346.3340
2020-02-10,9903.5757,10423.5690
2020-02-11,9972.6964,10441.6326
2020-02-12,10064.7899,10508.9071
2020-02-13,10048.4546,10497.6964
2020-02-14,10046.3918,10514.5109
2020-02-18,9957.8980,10487.4207
2020-02-19,9988.6564,10537.5625
2020-02-20,10027.8340,10494.2684
2020-02-21,9945.7947,10386.1980
2020-02-24,9557.8233,10041.7330
2020-02-25,9208.5077,9737.4481
2020-02-26,9119.8577,9701.6309
2020-02-27,8802.3028,9265.9152
2020-02-28,8669.5627,9226.9841
2020-03-02,8903.2797,9626.5727
2020-03-03,8649.3351,9350.9402
2020-03-04,8973.9400,9743.9911
2020-03-05,8610.1524,9420.0805
2020-03-06,8448.7975,9264.3582
2020-03-09,7659.3008,8540.8611
2020-03-10,7939.2643,8982.8068
2020-03-11,7504.1273,8544.9095
2020-03-12,6610.8958,7727.3566
2020-03-13,7177.4939,8387.9423
2020-03-16,6198.1810,7470.1012
2020-03-17,6517.2989,7873.4273
2020-03-18,5959.2558,7474.7721
2020-03-19,6108.4260,7490.6567
2020-03-20,5899.8693,7167.8523
2020-03-23,5749.9938,6984.5833
2020-03-24,6426.4614,7617.4095
2020-03-25,6647.1760,7731.4440
2020-03-26,6922.6464,8182.8812
2020-03-27,6635.9208,7939.1490
2020-03-30,6718.1389,8196.9780
2020-03-31,6565.8175,8074.7999
2020-04-01,6098.6976,7711.3924
2020-04-02,6087.3424,7889.3369
2020-04-03,5938.0707,7775.3049
2020-04-06,6492.4352,8297.5413
2020-04-07,6647.7866,8305.9995
2020-04-08,6974.3297,8584.8213
2020-04-09,7250.0400,8715.4566
2020-04-13,7051.1959,8635.8841
2020-04-14,7151.5665,8890.5815
2020-04-15,6828.5066,8701.6739
2020-04-16,6703.6382,8743.6518
2020-04-17,7060.6177,8979.8665
2020-04-20,6802.6333,8821.6575
2020-04-21,6685.9707,8553.8040
2020-04-22,6772.2867,8743.6518
2020-04-23,6874.9025,8743.0247
2020-04-24,7001.4360,8864.8913
2020-04-27,7314.1730,8992.7091
2020-04-28,7530.0932,8951.3578
2020-04-29,7953.9329,9185.6900
2020-04-30,7756.2884,9100.1668
2020-05-01,7409.6926,8859.2563
2020-05-04,7407.7411,8883.6901
2020-05-05,7365.7071,8965.7708
2020-05-06,7234.4011,8904.9924
2020-05-07,7435.5194,9012.4481
2020-05-08,7773.9084,9161.5661
2020-05-11,7588.0583,9163.4475
2020-05-12,7287.1650,8980.8067
2020-05-13,7061.9001,8821.9737
2020-05-14,7172.6051,8927.5500
2020-05-15,7219.4059,8968.5872
2020-05-18,7801.9755,9241.7673
2020-05-19,7679.7426,9146.8442
2020-05-20,7844.2502,9302.2285
2020-05-21,7827.4082,9238.0065
2020-05-22,7824.4850,9255.5511
2020-05-26,8224.1394,9369.5872
2020-05-27,8511.3779,9508.9953
2020-05-28,8288.0664,9491.4538
2020-05-29,8273.5263,9533.7453
2020-06-01,8393.6964,9572.2791
2020-06-02,8540.5698,9651.5370
2020-06-03,8882.4539,9779.9799
2020-06-04,9017.9894,9754.2938
2020-06-05,9439.7099,10004.2923
2020-06-08,9696.3733,10125.2177
2020-06-09,9382.5382,10049.7195
2020-06-10,8993.3043,9993.6411
2020-06-11,8237.6730,9417.5168
2020-06-12,8494.5680,9530.2986
2020-06-15,8588.9582,9619.2706
2020-06-16,8802.4679,9804.4179
2020-06-17,8625.8935,9763.6937
2020-06-18,8598.1643,9767.4535
2020-06-19,8508.0093,9711.6310
2020-06-22,8529.8485,9773.9341
2020-06-23,8570.4465,9818.9307
2020-06-24,8237.1634,9568.4632
2020-06-25,8284.6300,9671.0421
2020-06-26,8191.4528,9441.3401
