date,nav,benchmark_nav
2019-12-30,9990.1643,10000.0000
2019-12-31,10019.1201,10024.2914
2020-01-02,10169.7182,10118.0378
2020-01-03,10070.6587,10041.4244
2020-01-06,10136.2224,10079.7311
2020-01-07,10073.9318,10051.3877
2020-01-08,10122.4358,10104.9610
2020-01-09,10212.6395,10173.4755
2020-01-10,10178.8479,10144.1988
2020-01-13,10258.9472,10213.9656
2020-01-14,10208.8796,10198.3914
2020-01-15,10212.0390,10221.4399
2020-01-16,10313.5979,10306.4629
2020-01-17,10349.3941,10338.5455
2020-01-21,10343.8637,10318.3010
2020-01-22,10344.6802,10319.5470
2020-01-23,10360.8729,10331.3809
2020-01-24,10281.5796,10239.5052
2020-01-27,10099.5856,10075.3704
2020-01-28,10235.5817,10180.9529
2020-01-29,10269.3005,10172.5422
2020-01-30,10341.1880,10205.5550
2020-01-31,10215.2924,10020.2446
2020-02-03,10309.8437,10094.6807
2020-02-04,10466.5111,10248.5352
2020-02-05,10548.9714,10366.8848
2020-02-06,10631.0284,10401.7671
2020-02-07,10594.9579,10346.3326
2020-02-10,10718.2610,10423.5695
2020-02-11,10698.7224,10441.6306
2020-02-12,10774.2477,10508.9095
2020-02-13,10720.5216,10497.6960
2020-02-14,10726.2915,10514.5121
2020-02-18,10702.2460,10487.4168
2020-02-19,10759.8395,10537.5616
2020-02-20,10687.5972,10494.2685
2020-02-21,10517.5294,10386.1971
2020-02-24,10109.5618,10041.7352
2020-02-25,9853.9657,9737.4495
2020-02-26,9865.6584,9701.6329
2020-02-27,9359.9004,9265.9166
2020-02-28,9330.7781,9226.9843
2020-03-02,9830.3895,9626.5721
2020-03-03,9511.4256,9350.9396
2020-03-04,9886.4912,9743.9864
2020-03-05,9566.0011,9420.0797
2020-03-06,9406.6500,9264.3567
2020-03-09,8752.0323,8540.8596
2020-03-10,9226.2890,8982.8088
2020-03-11,8798.6301,8544.9101
2020-03-12,7991.3545,7727.3579
2020-03-13,8848.0186,8387.9410
2020-03-16,7815.5294,7470.1003
2020-03-17,8312.5546,7873.4268
2020-03-18,8030.0676,7474.7733
2020-03-19,8070.9315,7490.6556
2020-03-20,7728.7372,7167.8511
2020-03-23,7651.0272,6984.5834
2020-03-24,8249.7205,7617.4090
2020-03-25,8211.7288,7731.4423
2020-03-26,8688.7061,8182.8802
2020-03-27,8346.6480,7939.1484
2020-03-30,8676.9731,8196.9774
2020-03-31,8498.5205,8074.7989
2020-04-01,8188.7025,7711.3937
2020-04-02,8382.0966,7889.3352
2020-04-03,8282.7136,7775.3036
2020-04-06,8827.2821,8297.5396
2020-04-07,8759.3090,8305.9998
2020-04-08,8953.7900,8584.8184
2020-04-09,9021.3466,8715.4550
2020-04-13,9104.9266,8635.8834
2020-04-14,9479.4880,8890.5826
2020-04-15,9399.3852,8701.6706
2020-04-16,9559.6068,8743.6524
2020-04-17,9623.9850,8979.8641
2020-04-20,9506.6020,8821.6573
2020-04-21,9201.3503,8553.8025
2020-04-22,9417.5270,8743.6524
2020-04-23,9423.4263,8743.0215
2020-04-24,9551.7786,8864.8898
2020-04-27,9593.4435,8992.7105
2020-04-28,9423.2120,8951.3570
2020-04-29,9696.7111,9185.6881
2020-04-30,9746.0941,9100.1657
2020-05-01,9461.3721,8859.2539
2020-05-04,9553.9000,8883.6871
2020-05-05,9650.0893,8965.7675
2020-05-06,9680.3842,8904.9890
2020-05-07,9762.0474,9012.4472
2020-05-08,9893.9368,9161.5667
2020-05-11,9992.0962,9163.4509
2020-05-12,9811.0822,8980.8057
2020-05-13,9703.5512,8821.9691
2020-05-14,9811.8327,8927.5452
2020-05-15,9899.2186,8968.5860
2020-05-18,10048.0239,9241.7681
2020-05-19,9986.1258,9146.8402
2020-05-20,10135.1167,9302.2296
2020-05-21,10032.8130,9238.0070
2020-05-22,10041.9389,9255.5498
2020-05-26,10042.6939,9369.5856
2020-05-27,10092.3944,9508.9952
2020-05-28,10077.6187,9491.4513
2020-05-29,10156.3599,9533.7464
2020-06-01,10177.5747,9572.2762
2020-06-02,10230.1736,9651.5361
2020-06-03,10276.8758,9779.9813
2020-06-04,10204.2894,9754.2927
2020-06-05,10396.6062,10004.2929
2020-06-08,10468.9127,10125.2159
2020-06-09,10556.8358,10049.7193
2020-06-10,10681.5640,9993.6404
2020-06-11,10149.7028,9417.5188
2020-06-12,10221.9701,9530.2950
2020-06-15,10306.7412,9619.2668
2020-06-16,10525.0742,9804.4208
2020-06-17,10526.4490,9763.6929
2020-06-18,10550.3923,9767.4530
2020-06-19,10539.4700,9711.6316
2020-06-22,10696.7018,9773.9325
2020-06-23,10790.9170,9818.9272
2020-06-24,10593.8444,9568.4609
2020-06-25,10712.4447,9671.0403
2020-06-26,10430.7141,9441.3399
2020-06-29,10537.8204,9580.1030
2020-06-30,10713.8081,9702.8195
2020-07-01,10824.0948,9770.7866
2020-07-02,10877.4296,9824.5944
2020-07-06,11135.3960,9976.2613
2020-07-07,11059.3856,9873.3649
2020-07-08,11239.0532,9948.8844
2020-07-09,11321.0335,9892.2456
2020-07-10,11402.4216,9993.2504
2020-07-13,11235.3315,9906.7218
2020-07-14,11351.7231,10035.1013
2020-07-15,11324.7353,10127.2972
2020-07-16,11237.3432,10093.9393
2020-07-17,11218.8331,10123.2024
2020-07-20,11535.4211,10205.0180
2020-07-21,11441.4924,10226.7265
2020-07-22,11461.2815,10284.9389
2020-07-23,11158.2501,10162.2234
2020-07-24,11080.8308,10096.7745
2020-07-27,11204.5375,10170.4067
2020-07-28,11084.9789,10105.8973
2020-07-29,11194.6250,10230.1884
2020-07-30,11223.5742,10193.6877
2020-07-31,11453.4155,10274.2415
2020-08-03,11614.3059,10345.6694
2020-08-04,11637.7562,10385.6309
2020-08-05,11725.2464,10450.1341
2020-08-06,11876.5856,10519.9905
2020-08-07,11742.0366,10527.5420
2020-08-10,11711.7666,10559.0084
2020-08-11,11522.2713,10471.8478
2020-08-12,11777.9708,10617.8464
2020-08-13,11797.0535,10598.6529
2020-08-14,11778.3174,10598.9678
2020-08-17,11860.8262,10632.6375
2020-08-18,12003.4669,10655.6077
2020-08-19,11936.3549,10611.2407
2020-08-20,12084.2991,10644.2816
2020-08-21,12194.1961,10682.0398
2020-08-24,12274.5061,10790.2802
2020-08-25,12350.1414,10828.0415
2020-08-26,12617.7623,10936.5988
2020-08-27,12607.8330,10960.5127
2020-08-28,12673.4582,11031.3087
2020-08-31,12724.3731,10991.3514
2020-09-01,12941.8142,11094.8713
2020-09-02,13061.9356,11255.3482
2020-09-03,12434.0411,10868.0040
2020-09-04,12282.3971,10779.2648
2020-09-08,11788.4222,10484.7474
2020-09-09,12119.9355,10691.7935
2020-09-10,11849.5409,10506.1463
2020-09-11,11783.2706,10511.4944
2020-09-14,11909.7623,10649.9436
2020-09-15,12019.7634,10703.7515
2020-09-16,11824.3194,10661.2708
2020-09-17,11686.0877,10567.5014
2020-09-18,11531.4936,10445.8432
2020-09-21,11573.8262,10329.5854
2020-09-22,11775.4922,10434.7861
2020-09-23,11421.8473,10192.7920
2020-09-24,11499.7221,10219.9613
2020-09-25,11744.7636,10385.1878
2020-09-28,11926.2044,10557.6768
2020-09-29,11879.7596,10500.1808
2020-09-30,12001.9724,10579.7931
2020-10-01,12132.2640,10647.7143
2020-10-02,11823.9192,10546.6197
2020-10-05,12104.6292,10733.6444
2020-10-06,11848.8612,10581.0569
2020-10-07,12073.0628,10765.2370
2020-10-08,12108.5572,10860.6455
2020-10-09,12350.8122,10957.6306
2020-10-12,12697.5330,11133.9142
2020-10-13,12629.7697,11061.2496
2020-10-14,12515.6500,10991.7487
2020-10-15,12457.9565,10978.1672
2020-10-16,12422.4170,10971.5323
2020-10-19,12162.7875,10804.7261
2020-10-20,12200.2211,10848.0076
2020-10-21,12176.5087,10827.4722
2020-10-22,12188.8313,10886.8638
2020-10-23,12206.6678,10923.8265
2020-10-26,12027.0521,10721.9554
2020-10-27,12127.5738,10684.9949
2020-10-28,11653.0575,10319.7921
2020-10-29,11831.0763,10424.6748
2020-10-30,11550.1275,10315.9997
2020-11-02,11604.2027,10431.6267
2020-11-03,11816.3930,10615.8068
2020-11-04,12255.1503,10853.0628
2020-11-05,12544.5588,11064.7302
2020-11-06,12529.3001,11062.2006
2020-11-09,12340.4180,11201.2076
2020-11-10,12171.7447,11184.7774
2020-11-11,12401.6453,11267.8630
2020-11-12,12342.8397,11158.5559
2020-11-13,12387.6365,11313.0391
2020-11-16,12465.7107,11454.2578
2020-11-17,12454.4978,11392.6524
2020-11-18,12381.0349,11255.5421
2020-11-19,12450.1395,11302.9278
2020-11-20,12375.8630,11225.5303
2020-11-23,12380.4005,11292.8196
2020-11-24,12532.3528,11474.7891
2020-11-25,12604.3527,11457.0972
2020-11-27,12688.5878,11489.0067
2020-11-30,12614.6644,11438.1446
2020-12-01,12798.7765,11563.2479
2020-12-02,12721.8865,11587.5737
2020-12-03,12735.4367,11584.4132
2020-12-04,12745.2658,11684.2439
2020-12-07,12790.2365,11660.2310
2020-12-08,12840.7299,11694.3532
2020-12-09,12592.3977,11589.4683
2020-12-10,12632.9350,11585.6759
2020-12-11,12674.9547,11572.0913
2020-12-14,12696.5622,11520.2813
2020-12-15,12859.4015,11676.0283
2020-12-16,12938.0994,11694.3532
2020-12-17,13028.2015,11759.7478
2020-12-18,12976.7135,11712.7917
2020-12-21,12997.0196,11670.9147
2020-12-22,13075.0020,11651.2395
2020-12-23,13026.7082,11661.7127
2020-12-24,13082.1203,11707.0828
2020-12-28,13265.3339,11807.6539
2020-12-29,13230.5538,11785.1299
2020-12-30,13207.0258,11801.9429
2020-12-31,13229.0058,11861.9059
2021-01-04,13083.0339,11700.4208
2021-01-05,13187.5471,11781.0028
2021-01-06,13030.5978,11851.4380
2021-01-07,13383.6829,12027.5161
2021-01-08,13530.5628,12096.0484
2021-01-11,13321.2060,12014.5123
2021-01-12,13321.5832,12017.0492
2021-01-13,13457.1991,12049.4134
2021-01-14,13364.4875,12007.2153
2021-01-15,13254.2182,11919.6522
2021-01-19,13407.0057,12013.2433
2021-01-20,13763.9137,12179.4905
2021-01-21,13887.9172,12190.5935
2021-01-22,13940.5015,12147.4444
2021-01-25,14080.1846,12195.3515
2021-01-26,14184.0565,12176.3175
2021-01-27,13865.0579,11878.7220
2021-01-28,13903.0524,11980.8833
2021-01-29,13622.1866,11741.0288
2021-02-01,14012.3854,11936.4641
2021-02-02,14134.4687,12105.2494
2021-02-03,14220.2007,12114.7716
2021-02-04,14416.4725,12252.4596
2021-02-05,14454.8518,12300.6857
2021-02-08,14514.4840,12389.5199
2021-02-09,14487.1206,12381.2688
2021-02-10,14422.9075,12375.8737
2021-02-11,14448.6487,12395.8628
2021-02-12,14487.8619,12457.0970
2021-02-16,14438.3147,12446.3089
2021-02-17,14366.1436,12449.1649
2021-02-18,14244.4514,12396.1808
2021-02-19,14180.2331,12374.2888
2021-02-22,13842.7904,12279.1086
2021-02-23,13640.9810,12294.0196
2021-02-24,13716.8799,12429.4928
2021-02-25,13348.6723,12129.9954
2021-02-26,13315.2747,12067.4933
2021-03-01,13681.2402,12360.0128
2021-03-02,13475.4962,12263.5636
2021-03-03,13145.9630,12101.1233
2021-03-04,12968.4525,11951.3762
2021-03-05,13137.9869,12171.2384
2021-03-08,12866.9055,12110.6445
2021-03-09,13295.4343,12283.5516
2021-03-10,13268.3009,12360.0128
2021-03-11,13552.4847,12485.3320
2021-03-12,13464.8010,12502.1459
2021-03-15,13559.9068,12576.7062
2021-03-16,13603.6869,12560.8432
2021-03-17,13643.1268,12603.6732
2021-03-18,13297.5677,12420.2960
2021-03-19,13372.9667,12397.3122
2021-03-22,13549.0450,12496.3056
2021-03-23,13508.1612,12397.9514
2021-03-24,13300.0902,12334.9227
2021-03-25,13293.4380,12404.3151
2021-03-26,13399.9452,12604.2102
2021-03-29,13405.6706,12597.8433
2021-03-30,13370.9470,12564.4228
2021-03-31,13543.6339,12615.3497
2021-04-01,13731.2118,12751.5820
2021-04-05,14004.9251,12934.6089
2021-04-06,13990.6517,12926.9709
2021-04-07,14068.7573,12941.9299
2021-04-08,14190.1257,13003.3611
2021-04-09,14328.9117,13097.9000
2021-04-12,14282.4748,13102.6747
2021-04-13,14449.9137,13141.5069
2021-04-14,14268.9746,13096.6269
2021-04-15,14458.5233,13237.3169
2021-04-16,14469.9732,13281.5598
2021-04-19,14379.2479,13216.3070
2021-04-20,14259.1537,13119.5450
2021-04-21,14358.0685,13243.6838
2021-04-22,14190.1459,13122.7263
2021-04-23,14371.4795,13265.0076
2021-04-26,14453.8324,13292.7003
2021-04-27,14398.7683,13289.8391
2021-04-28,14455.8280,13286.0185
2021-04-29,14499.4868,13370.6849
2021-04-30,14422.8837,13282.8340
2021-05-03,14387.6326,13311.4830
2021-05-04,14091.9983,13229.3609
2021-05-05,14079.7023,13233.4963
2021-05-06,14186.5033,13339.1747
2021-05-07,14260.8178,13436.2568
2021-05-10,13964.4529,13303.2068
2021-05-11,13907.1268,13184.4777
2021-05-12,13560.1198,12904.3698
2021-05-13,13687.9412,13059.3869
2021-05-14,13929.1143,13259.9149
2021-05-17,13894.6962,13226.1753
2021-05-18,13820.7450,13112.2240
2021-05-19,13794.8634,13077.8463
2021-05-20,13994.4870,13218.5374
2021-05-21,13933.6367,13207.7138
2021-05-24,14137.8061,13342.3592
2021-05-25,14179.0624,13312.7561
2021-05-26,14214.4609,13339.1747
2021-05-27,14175.7111,13346.1756
2021-05-28,14180.7382,13370.0519
2021-06-01,14168.0013,13358.2723
2021-06-02,14171.6027,13379.2790
2021-06-03,14037.4123,13329.6233
2021-06-04,14240.0929,13451.5349
2021-06-07,14262.7024,13438.4830
2021-06-08,14282.8349,13441.3505
2021-06-09,14301.9819,13421.2947
2021-06-10,14409.6458,13483.6842
2021-06-11,14448.8020,13505.9673
2021-06-14,14572.6224,13536.2054
2021-06-15,14465.5860,13511.3770
2021-06-16,14427.4555,13435.9388
2021-06-17,14547.3328,13431.4822
2021-06-18,14434.2388,13250.2853
2021-06-21,14548.7988,13439.9773
2021-06-22,14688.6184,13511.8295
2021-06-23,14736.4447,13495.5432
2021-06-24,14801.1508,13575.3775
2021-06-25,14783.1577,13623.5974
2021-06-28,14924.8275,13651.0639
2021-06-29,14952.5064,13658.4078
2021-06-30,14923.2350,13669.9070
2021-07-01,14969.2410,13745.5893
2021-07-02,15172.9688,13850.6576
2021-07-06,15254.4381,13825.4257
2021-07-07,15315.3843,13874.2858
2021-07-08,15237.5725,13761.2375
2021-07-09,15353.3295,13908.1369
2021-07-12,15429.4376,13957.9564
2021-07-13,15422.9056,13910.3715
2021-07-14,15487.1899,13931.1301
2021-07-15,15371.4205,13883.5484
2021-07-16,15227.1730,13774.6511
2021-07-19,15032.8578,13571.2285
2021-07-20,15213.2305,13765.7108
2021-07-21,15277.3873,13877.1627
2021-07-22,15404.1910,13906.2204
2021-07-23,15537.5600,14049.2879
2021-07-26,15542.1611,14083.7792
2021-07-27,15374.5388,14019.5889
2021-07-28,15462.1694,14013.8414
2021-07-29,15484.8100,14071.9609
2021-07-30,15302.6961,14003.6226
2021-08-02,15330.5924,13974.2438
2021-08-03,15477.3076,14087.9303
2021-08-04,15462.4238,14018.6306
2021-08-05,15564.6623,14107.4105
2021-08-06,15504.4644,14130.7238
2021-08-09,15520.1474,14119.2236
2021-08-10,15479.6695,14136.7894
2021-08-11,15425.0873,14171.9178
2021-08-12,15560.5380,14214.3881
2021-08-13,15585.1129,14240.2572
2021-08-16,15631.8459,14273.7892
2021-08-17,15485.1410,14180.2200
2021-08-18,15342.2294,14025.0163
2021-08-19,15402.2905,14046.7342
2021-08-20,15550.9420,14158.5021
2021-08-23,15769.0635,14283.0518
2021-08-24,15795.7656,14305.7207
2021-08-25,15801.1330,14335.7418
