date,nav,benchmark_nav
2019-12-30,9990.3333,10000.0000
2019-12-31,9992.1371,10024.2924
2020-01-02,10029.0261,10118.0382
2020-01-03,9925.9824,10041.4210
2020-01-06,9902.0434,10079.7311
2020-01-07,9886.9818,10051.3909
2020-01-08,9947.8570,10104.9617
2020-01-09,9957.5977,10173.4780
2020-01-10,9880.1314,10144.1985
2020-01-13,9972.5858,10213.9660
2020-01-14,10034.5718,10198.3934
2020-01-15,9996.1050,10221.4429
2020-01-16,10112.3711,10306.4648
2020-01-17,10146.8968,10338.5451
2020-01-21,10060.2790,10318.2974
2020-01-22,10038.7715,10319.5465
2020-01-23,10087.8862,10331.3833
2020-01-24,9970.0021,10239.5044
2020-01-27,9821.8287,10075.3702
2020-01-28,9914.5664,10180.9518
2020-01-29,9895.5039,10172.5440
2020-01-30,9908.4769,10205.5562
2020-01-31,9676.0197,10020.2404
2020-02-03,9742.7918,10094.6808
2020-02-04,9864.4473,10248.5372
2020-02-05,10124.2333,10366.8854
2020-02-06,10144.3996,10401.7707
2020-02-07,10072.3888,10346.3340
2020-02-10,10067.7512,10423.5690
2020-02-11,10113.5955,10441.6326
2020-02-12,10213.2212,10508.9071
2020-02-13,10211.4298,10497.6964
2020-02-14,10167.3047,10514.5109
2020-02-18,10131.6291,10487.4207
2020-02-19,10167.7136,10537.5625
2020-02-20,10189.6000,10494.2684
2020-02-21,10046.2537,10386.1980
2020-02-24,9708.4240,10041.7330
2020-02-25,9357.4770,9737.4481
2020-02-26,9251.8050,9701.6309
2020-02-27,8933.5491,9265.9152
2020-02-28,8751.5101,9226.9841
2020-03-02,9044.1591,9626.5727
2020-03-03,8759.6661,9350.9402
2020-03-04,9048.0228,9743.9911
2020-03-05,8743.9365,9420.0805
2020-03-06,8533.7566,9264.3582
2020-03-09,7744.4312,8540.8611
2020-03-10,8072.8959,8982.8068
2020-03-11,7620.7082,8544.9095
2020-03-12,6746.4177,7727.3566
2020-03-13,7344.1167,8387.9423
2020-03-16,6473.7942,7470.1012
2020-03-17,6835.7966,7873.4273
2020-03-18,6233.5703,7474.7721
2020-03-19,6469.2988,7490.6567
2020-03-20,6277.9592,7167.8523
2020-03-23,6200.0942,6984.5833
2020-03-24,6734.4969,7617.4095
2020-03-25,6785.5246,7731.4440
2020-03-26,7214.2014,8182.8812
2020-03-27,6848.9137,7939.1490
2020-03-30,6999.3677,8196.9780
2020-03-31,6923.8675,8074.7999
2020-04-01,6413.6855,7711.3924
2020-04-02,6436.4391,7889.3369
2020-04-03,6328.4418,7775.3049
2020-04-06,6903.6368,8297.5413
2020-04-07,7123.8865,8305.9995
2020-04-08,7477.3528,8584.8213
2020-04-09,7719.6749,8715.4566
2020-04-13,7519.1235,8635.8841
2020-04-14,7661.4057,8890.5815
2020-04-15,7339.4396,8701.6739
2020-04-16,7197.0125,8743.6518
2020-04-17,7511.9757,8979.8665
2020-04-20,7312.0005,8821.6575
2020-04-21,7051.9085,8553.8040
2020-04-22,7090.4549,8743.6518
2020-04-23,7176.6394,8743.0247
2020-04-24,7295.0539,8864.8913
2020-04-27,7659.0483,8992.7091
2020-04-28,7762.9930,8951.3578
2020-04-29,8189.7017,9185.6900
2020-04-30,7912.5113,9100.1668
2020-05-01,7555.9496,8859.2563
2020-05-04,7525.7698,8883.6901
2020-05-05,7489.9468,8965.7708
2020-05-06,7382.9908,8904.9924
2020-05-07,7621.6500,9012.4481
2020-05-08,7927.1969,9161.5661
2020-05-11,7760.7147,9163.4475
2020-05-12,7487.9704,8980.8067
2020-05-13,7251.6833,8821.9737
2020-05-14,7338.9305,8927.5500
2020-05-15,7453.6352,8968.5872
2020-05-18,7968.8336,9241.7673
2020-05-19,7815.0124,9146.8442
2020-05-20,7982.2857,9302.2285
2020-05-21,8001.0433,9238.0065
2020-05-22,7976.7159,9255.5511
2020-05-26,8418.1583,9369.5872
2020-05-27,8744.7988,9508.9953
2020-05-28,8501.5103,9491.4538
2020-05-29,8412.3154,9533.7453
2020-06-01,8574.7828,9572.2791
2020-06-02,8651.4392,9651.5370
2020-06-03,8925.3992,9779.9799
2020-06-04,9038.4981,9754.2938
