date,nav,benchmark_nav
2019-12-30,9990.4348,10000.0000
2019-12-31,10009.9205,10024.2924
2020-01-02,10083.0177,10118.0382
2020-01-03,9904.9239,10041.4210
2020-01-06,9861.9070,10079.7311
2020-01-07,9977.1545,10051.3909
2020-01-08,10019.7232,10104.9617
2020-01-09,10011.9506,10173.4780
2020-01-10,9923.6225,10144.1985
2020-01-13,9983.6952,10213.9660
2020-01-14,10158.6246,10198.3934
2020-01-15,10149.1365,10221.4429
2020-01-16,10264.0964,10306.4648
2020-01-17,10228.0572,10338.5451
2020-01-21,10235.1050,10318.2974
2020-01-22,10279.7816,10319.5465
2020-01-23,10307.8310,10331.3833
2020-01-24,10016.9365,10239.5044
2020-01-27,9750.0609,10075.3702
2020-01-28,9934.6915,10180.9518
2020-01-29,9837.9660,10172.5440
2020-01-30,9775.6868,10205.5562
2020-01-31,9545.6688,10020.2404
2020-02-03,9704.6093,10094.6808
2020-02-04,9983.1958,10248.5372
2020-02-05,10294.9012,10366.8854
2020-02-06,10351.3597,10401.7707
2020-02-07,10174.5643,10346.3340
2020-02-10,10298.7010,10423.5690
2020-02-11,10415.2601,10441.6326
2020-02-12,10598.6030,10508.9071
2020-02-13,10658.5305,10497.6964
2020-02-14,10523.0930,10514.5109
2020-02-18,10383.1075,10487.4207
2020-02-19,10568.8287,10537.5625
2020-02-20,10462.4643,10494.2684
2020-02-21,10284.9956,10386.1980
2020-02-24,10094.9024,10041.7330
2020-02-25,9870.0103,9737.4481
2020-02-26,9823.0676,9701.6309
2020-02-27,9463.0353,9265.9152
2020-02-28,9494.2222,9226.9841
2020-03-02,9851.7321,9626.5727
2020-03-03,9595.2790,9350.9402
2020-03-04,10055.5471,9743.9911
2020-03-05,9793.7841,9420.0805
2020-03-06,9676.7015,9264.3582
2020-03-09,8967.8158,8540.8611
2020-03-10,9348.1531,8982.8068
2020-03-11,8842.7598,8544.9095
2020-03-12,8045.3508,7727.3566
2020-03-13,8594.5138,8387.9423
2020-03-16,7574.7819,7470.1012
2020-03-17,8338.9658,7873.4273
2020-03-18,7848.2518,7474.7721
2020-03-19,8056.7451,7490.6567
2020-03-20,7715.6193,7167.8523
2020-03-23,7800.2826,6984.5833
2020-03-24,8386.0911,7617.4095
2020-03-25,8306.6073,7731.4440
2020-03-26,8787.0574,8182.8812
2020-03-27,8428.5747,7939.1490
2020-03-30,8722.3821,8196.9780
2020-03-31,8681.6934,8074.7999
2020-04-01,8195.6034,7711.3924
2020-04-02,8292.6169,7889.3369
2020-04-03,8210.2204,7775.3049
2020-04-06,8919.7579,8297.5413
2020-04-07,8921.9998,8305.9995
2020-04-08,9241.7473,8584.8213
2020-04-09,9154.3825,8715.4566
2020-04-13,9090.0028,8635.8841
2020-04-14,9389.3290,8890.5815
2020-04-15,9193.9612,8701.6739
2020-04-16,9263.5336,8743.6518
2020-04-17,9481.2675,8979.8665
2020-04-20,9419.5010,8821.6575
2020-04-21,9027.8540,8553.8040
2020-04-22,9144.3518,8743.6518
2020-04-23,9201.4757,8743.0247
2020-04-24,9339.8183,8864.8913
2020-04-27,9543.6628,8992.7091
2020-04-28,9675.4963,8951.3578
2020-04-29,10112.9195,9185.6900
2020-04-30,9856.0001,9100.1668
2020-05-01,9470.3667,8859.2563
2020-05-04,9576.4135,8883.6901
2020-05-05,9609.7570,8965.7708
2020-05-06,9749.4939,8904.9924
2020-05-07,10060.6648,9012.4481
2020-05-08,10261.0932,9161.5661
2020-05-11,10376.3593,9163.4475
2020-05-12,10246.3834,8980.8067
2020-05-13,10038.7355,8821.9737
2020-05-14,10055.2635,8927.5500
2020-05-15,10065.7918,8968.5872
2020-05-18,10458.4051,9241.7673
2020-05-19,10383.7153,9146.8442
2020-05-20,10608.7902,9302.2285
2020-05-21,10476.9024,9238.0065
2020-05-22,10487.9768,9255.5511
2020-05-26,10651.0364,9369.5872
2020-05-27,10860.7424,9508.9953
2020-05-28,10764.5283,9491.4538
2020-05-29,10900.7425,9533.7453
2020-06-01,10945.2824,9572.2791
2020-06-02,11012.4215,9651.5370
2020-06-03,11169.0610,9779.9799
2020-06-04,11222.5357,9754.2938
2020-06-05,11583.2848,10004.2923
2020-06-08,11599.8917,10125.2177
2020-06-09,11380.3314,10049.7195
2020-06-10,11203.2949,9993.6411
2020-06-11,10463.0359,9417.5168
2020-06-12,10669.6789,9530.2986
2020-06-15,10845.3361,9619.2706
2020-06-16,11023.4507,9804.4179
2020-06-17,10917.9220,9763.6937
2020-06-18,10850.7129,9767.4535
2020-06-19,10867.0869,9711.6310
2020-06-22,10867.9110,9773.9341
2020-06-23,10858.2752,9818.9307
2020-06-24,10488.4989,9568.4632
2020-06-25,10563.2307,9671.0421
2020-06-26,10346.7471,9441.3401
2020-06-29,10466.2643,9580.1044
2020-06-30,10654.4831,9702.8228
2020-07-01,10598.0163,9770.7879
2020-07-02,10622.6302,9824.5948
2020-07-06,10768.5730,9976.2599
2020-07-07,10563.5685,9873.3668
2020-07-08,10736.7496,9948.8868
2020-07-09,10763.5987,9892.2458
2020-07-10,10825.6402,9993.2511
2020-07-13,10569.8342,9906.7181
2020-07-14,10759.5215,10035.0996
2020-07-15,10966.3174,10127.2978
2020-07-16,10808.1191,10093.9434
2020-07-17,10915.3564,10123.2052
2020-07-20,11062.2827,10205.0174
2020-07-21,10985.6066,10226.7316
2020-07-22,11068.4258,10284.9410
2020-07-23,11075.8761,10162.2226
2020-07-24,10826.3586,10096.7723
2020-07-27,11038.0047,10170.4046
2020-07-28,10900.0467,10105.8988
2020-07-29,11050.7380,10230.1887
2020-07-30,11078.9541,10193.6882
2020-07-31,10915.5195,10274.2389
2020-08-03,11038.3266,10345.6715
2020-08-04,11040.6481,10385.6302
2020-08-05,11113.1765,10450.1350
2020-08-06,11166.1670,10519.9878
2020-08-07,11168.7246,10527.5427
2020-08-10,11197.2906,10559.0104
2020-08-11,10992.6115,10471.8470
2020-08-12,11071.1473,10617.8501
2020-08-13,11093.0560,10598.6539
2020-08-14,11104.3034,10598.9711
2020-08-17,11172.6634,10632.6385
2020-08-18,11107.3283,10655.6069
2020-08-19,11018.0093,10611.2447
2020-08-20,10982.0574,10644.2787
2020-08-21,10948.6538,10682.0398
2020-08-24,10980.2372,10790.2828
2020-08-25,11038.5534,10828.0407
2020-08-26,11037.0849,10936.5999
2020-08-27,11041.3705,10960.5117
2020-08-28,11218.1549,11031.3109
2020-08-31,11214.5149,10991.3501
2020-09-01,11186.5816,11094.8724
2020-09-02,11428.4436,11255.3456
2020-09-03,11004.6815,10868.0056
2020-09-04,10980.1148,10779.2708
2020-09-08,10772.6297,10484.7488
2020-09-09,10975.3326,10691.7944
2020-09-10,10863.0821,10506.1447
2020-09-11,10842.0735,10511.4937
2020-09-14,11033.5809,10649.9459
2020-09-15,11059.4130,10703.7518
2020-09-16,11099.4225,10661.2710
2020-09-17,10997.9509,10567.5024
2020-09-18,10907.1464,10445.8437
2020-09-21,10655.8035,10329.5871
2020-09-22,10773.5341,10434.7870
2020-09-23,10632.9595,10192.7938
2020-09-24,10615.4269,10219.9619
2020-09-25,10814.4235,10385.1861
2020-09-28,11020.1059,10557.6781
2020-09-29,11026.2165,10500.1811
2020-09-30,11065.7389,10579.7937
2020-10-01,11211.0369,10647.7161
2020-10-02,11018.9565,10546.6203
2020-10-05,11216.8167,10733.6428
2020-10-06,11121.5982,10581.0573
2020-10-07,11353.4784,10765.2384
2020-10-08,11552.6123,10860.6462
2020-10-09,11690.9887,10957.6318
2020-10-12,11809.2694,11133.9147
2020-10-13,11717.5437,11061.2528
2020-10-14,11671.6977,10991.7495
2020-10-15,11608.5714,10978.1696
2020-10-16,11619.6337,10971.5299
2020-10-19,11474.1868,10804.7280
2020-10-20,11551.9083,10848.0075
2020-10-21,11471.0896,10827.4728
2020-10-22,11607.9094,10886.8669
2020-10-23,11565.9135,10923.8250
2020-10-26,11240.7795,10721.9537
2020-10-27,11160.8505,10684.9945
2020-10-28,10716.2440,10319.7930
2020-10-29,10820.2904,10424.6777
