date,nav,benchmark_nav
2019-12-30,9990.8000,10000.0000
2019-12-31,10076.9211,10024.2924
2020-01-02,10109.4916,10118.0382
2020-01-03,10108.1876,10041.4210
2020-01-06,10068.2476,10079.7311
2020-01-07,10084.5548,10051.3909
2020-01-08,10119.7707,10104.9617
2020-01-09,10043.7868,10173.4780
2020-01-10,9985.9110,10144.1985
2020-01-13,10054.4530,10213.9660
2020-01-14,10063.2926,10198.3934
2020-01-15,10041.9758,10221.4429
2020-01-16,10175.6955,10306.4648
2020-01-17,10171.3311,10338.5451
2020-01-21,10023.1882,10318.2974
2020-01-22,10074.4547,10319.5465
2020-01-23,10053.3682,10331.3833
2020-01-24,10039.1347,10239.5044
2020-01-27,9845.8640,10075.3702
2020-01-28,9866.8565,10180.9518
2020-01-29,9855.9392,10172.5440
2020-01-30,9833.5909,10205.5562
2020-01-31,9595.0917,10020.2404
2020-02-03,9694.9684,10094.6808
2020-02-04,9780.9985,10248.5372
2020-02-05,9896.7696,10366.8854
2020-02-06,9706.4694,10401.7707
2020-02-07,9603.1581,10346.3340
2020-02-10,9589.9408,10423.5690
2020-02-11,9716.8678,10441.6326
2020-02-12,9838.9054,10508.9071
2020-02-13,9779.2460,10497.6964
2020-02-14,9751.1247,10514.5109
2020-02-18,9692.9543,10487.4207
2020-02-19,9722.2955,10537.5625
2020-02-20,9764.6818,10494.2684
2020-02-21,9582.2039,10386.1980
2020-02-24,9166.2088,10041.7330
2020-02-25,8806.2297,9737.4481
2020-02-26,8651.4952,9701.6309
2020-02-27,8449.5607,9265.9152
2020-02-28,8419.3704,9226.9841
2020-03-02,8583.6981,9626.5727
2020-03-03,8414.5525,9350.9402
2020-03-04,8606.3258,9743.9911
2020-03-05,8234.6693,9420.0805
2020-03-06,8079.1485,9264.3582
2020-03-09,7337.8713,8540.8611
2020-03-10,7592.3694,8982.8068
2020-03-11,7151.3935,8544.9095
2020-03-12,6482.2014,7727.3566
2020-03-13,6943.4516,8387.9423
2020-03-16,6215.1646,7470.1012
2020-03-17,6208.1033,7873.4273
2020-03-18,5725.2053,7474.7721
2020-03-19,6082.9825,7490.6567
2020-03-20,5866.0936,7167.8523
2020-03-23,5767.4799,6984.5833
2020-03-24,6280.5446,7617.4095
2020-03-25,6410.4921,7731.4440
2020-03-26,6740.4206,8182.8812
2020-03-27,6539.4224,7939.1490
2020-03-30,6583.8762,8196.9780
2020-03-31,6499.4014,8074.7999
2020-04-01,5996.3973,7711.3924
2020-04-02,6027.4048,7889.3369
2020-04-03,5935.6485,7775.3049
2020-04-06,6568.1505,8297.5413
2020-04-07,6779.9935,8305.9995
2020-04-08,7144.0256,8584.8213
2020-04-09,7429.6177,8715.4566
2020-04-13,7180.6067,8635.8841
2020-04-14,7280.6840,8890.5815
2020-04-15,6927.5408,8701.6739
2020-04-16,6830.9831,8743.6518
2020-04-17,7255.5608,8979.8665
2020-04-20,7017.7171,8821.6575
2020-04-21,6861.8020,8553.8040
2020-04-22,6879.4486,8743.6518
2020-04-23,6971.9602,8743.0247
2020-04-24,7067.9412,8864.8913
2020-04-27,7452.5029,8992.7091
2020-04-28,7654.8615,8951.3578
2020-04-29,8121.9292,9185.6900
2020-04-30,7802.5469,9100.1668
2020-05-01,7433.1481,8859.2563
2020-05-04,7506.5446,8883.6901
2020-05-05,7441.0916,8965.7708
2020-05-06,7249.0569,8904.9924
2020-05-07,7368.5136,9012.4481
2020-05-08,7785.7421,9161.5661
2020-05-11,7644.9473,9163.4475
2020-05-12,7370.5686,8980.8067
2020-05-13,7084.8893,8821.9737
2020-05-14,7163.3828,8927.5500
2020-05-15,7271.2764,8968.5872
2020-05-18,7813.5188,9241.7673
2020-05-19,7631.6895,9146.8442
2020-05-20,7835.3974,9302.2285
2020-05-21,7905.6887,9238.0065
2020-05-22,7913.8658,9255.5511
2020-05-26,8335.7942,9369.5872
2020-05-27,8801.1209,9508.9953
2020-05-28,8491.7826,9491.4538
2020-05-29,8425.0130,9533.7453
2020-06-01,8611.4017,9572.2791
2020-06-02,8853.4880,9651.5370
2020-06-03,9231.4251,9779.9799
2020-06-04,9401.5858,9754.2938
2020-06-05,9875.6790,10004.2923
2020-06-08,10218.0737,10125.2177
2020-06-09,9826.7761,10049.7195
2020-06-10,9335.6504,9993.6411
2020-06-11,8472.4849,9417.5168
2020-06-12,8781.1401,9530.2986
2020-06-15,8837.1787,9619.2706
2020-06-16,9165.2806,9804.4179
2020-06-17,8896.3785,9763.6937
2020-06-18,8965.5142,9767.4535
2020-06-19,8865.7634,9711.6310
2020-06-22,8928.8823,9773.9341
2020-06-23,8900.5104,9818.9307
2020-06-24,8523.3517,9568.4632
2020-06-25,8520.6998,9671.0421
2020-06-26,8388.8858,9441.3401
2020-06-29,8665.1646,9580.1044
2020-06-30,8784.6502,9702.8228
2020-07-01,8624.9113,9770.7879
