date,nav,benchmark_nav
2019-12-30,9990.5882,10000.0000
2019-12-31,10083.9626,10024.2924
2020-01-02,10068.6171,10118.0382
2020-01-03,10036.3744,10041.4210
2020-01-06,10017.1392,10079.7311
2020-01-07,9969.5514,10051.3909
2020-01-08,9910.3441,10104.9617
2020-01-09,9961.5572,10173.4780
2020-01-10,9908.1261,10144.1985
2020-01-13,9936.8636,10213.9660
2020-01-14,9952.0729,10198.3934
2020-01-15,9903.7717,10221.4429
2020-01-16,10027.0976,10306.4648
2020-01-17,10017.5417,10338.5451
2020-01-21,9887.4619,10318.2974
2020-01-22,9823.3042,10319.5465
2020-01-23,9769.6662,10331.3833
2020-01-24,9617.7152,10239.5044
2020-01-27,9427.3304,10075.3702
2020-01-28,9514.3673,10180.9518
2020-01-29,9435.9103,10172.5440
2020-01-30,9536.1330,10205.5562
2020-01-31,9360.7851,10020.2404
2020-02-03,9422.0437,10094.6808
2020-02-04,9577.1398,10248.5372
2020-02-05,9770.3659,10366.8854
2020-02-06,9697.4209,10401.7707
2020-02-07,9627.7807,10346.3340
2020-02-10,9661.6199,10423.5690
2020-02-11,9793.8391,10441.6326
2020-02-12,9788.8456,10508.9071
2020-02-13,9790.5858,10497.6964
2020-02-14,9723.6923,10514.5109
2020-02-18,9688.9692,10487.4207
2020-02-19,9782.0125,10537.5625
2020-02-20,9853.1804,10494.2684
2020-02-21,9701.7230,10386.1980
2020-02-24,9274.5640,10041.7330
2020-02-25,8900.6074,9737.4481
2020-02-26,8761.7996,9701.6309
2020-02-27,8405.7048,9265.9152
2020-02-28,8456.7140,9226.9841
2020-03-02,8701.3718,9626.5727
2020-03-03,8451.7838,9350.9402
2020-03-04,8613.2884,9743.9911
2020-03-05,8160.1720,9420.0805
2020-03-06,7884.0707,9264.3582
2020-03-09,6855.4384,8540.8611
2020-03-10,7222.8625,8982.8068
2020-03-11,6764.2975,8544.9095
2020-03-12,5936.5680,7727.3566
2020-03-13,6364.3600,8387.9423
2020-03-16,5533.3924,7470.1012
2020-03-17,5667.8275,7873.4273
2020-03-18,5238.0569,7474.7721
2020-03-19,5526.6986,7490.6567
