date,nav,benchmark_nav
2019-12-30,9992.0000,10000.0000
2019-12-31,10021.6850,10024.2924
2020-01-02,9953.3142,10118.0382
2020-01-03,9929.7138,10041.4210
2020-01-06,10030.2937,10079.7311
2020-01-07,10029.9853,10051.3909
2020-01-08,10078.5679,10104.9617
2020-01-09,10004.6115,10173.4780
2020-01-10,10050.5780,10144.1985
2020-01-13,10120.2272,10213.9660
2020-01-14,10219.0320,10198.3934
2020-01-15,10164.3467,10221.4429
2020-01-16,10237.6227,10306.4648
2020-01-17,10237.4219,10338.5451
2020-01-21,10150.2763,10318.2974
2020-01-22,10078.5954,10319.5465
2020-01-23,10068.2711,10331.3833
2020-01-24,9957.5271,10239.5044
2020-01-27,9882.1996,10075.3702
2020-01-28,9976.9391,10180.9518
2020-01-29,10015.5872,10172.5440
2020-01-30,9959.5686,10205.5562
2020-01-31,9719.4788,10020.2404
2020-02-03,9809.3562,10094.6808
2020-02-04,10034.3535,10248.5372
2020-02-05,10608.5703,10366.8854
2020-02-06,10870.0417,10401.7707
2020-02-07,10670.6822,10346.3340
2020-02-10,10683.7497,10423.5690
2020-02-11,10634.8372,10441.6326
2020-02-12,10800.1956,10508.9071
2020-02-13,10760.3333,10497.6964
2020-02-14,10726.8518,10514.5109
2020-02-18,10600.3241,10487.4207
2020-02-19,10598.8225,10537.5625
2020-02-20,10681.6921,10494.2684
2020-02-21,10591.2997,10386.1980
2020-02-24,10162.4547,10041.7330
2020-02-25,9859.6230,9737.4481
2020-02-26,9704.6159,9701.6309
2020-02-27,9455.2036,9265.9152
2020-02-28,9451.9683,9226.9841
2020-03-02,9580.0220,9626.5727
2020-03-03,9393.8062,9350.9402
2020-03-04,9687.3250,9743.9911
2020-03-05,9302.8393,9420.0805
2020-03-06,9191.0165,9264.3582
2020-03-09,8502.4348,8540.8611
2020-03-10,8749.2969,8982.8068
2020-03-11,8299.2611,8544.9095
2020-03-12,7696.6850,7727.3566
2020-03-13,8237.0628,8387.9423
2020-03-16,7143.5402,7470.1012
2020-03-17,7644.3559,7873.4273
2020-03-18,7474.1992,7474.7721
2020-03-19,7342.1154,7490.6567
2020-03-20,7053.9937,7167.8523
2020-03-23,6690.5228,6984.5833
2020-03-24,7342.6246,7617.4095
2020-03-25,7630.0886,7731.4440
2020-03-26,7792.6692,8182.8812
2020-03-27,7464.8631,7939.1490
2020-03-30,7523.8470,8196.9780
2020-03-31,7424.5626,8074.7999
2020-04-01,7012.0409,7711.3924
2020-04-02,7125.6161,7889.3369
2020-04-03,7136.4119,7775.3049
2020-04-06,7576.2278,8297.5413
2020-04-07,7632.8993,8305.9995
2020-04-08,7895.2812,8584.8213
2020-04-09,8059.4484,8715.4566
2020-04-13,7875.6659,8635.8841
2020-04-14,8069.4952,8890.5815
2020-04-15,7911.2512,8701.6739
2020-04-16,7966.6534,8743.6518
2020-04-17,8198.8228,8979.8665
2020-04-20,8056.8373,8821.6575
2020-04-21,7946.2172,8553.8040
2020-04-22,8033.7859,8743.6518
2020-04-23,8011.4183,8743.0247
2020-04-24,8197.4690,8864.8913
2020-04-27,8415.2938,8992.7091
2020-04-28,8479.5329,8951.3578
2020-04-29,8609.9547,9185.6900
2020-04-30,8404.8527,9100.1668
2020-05-01,8254.2993,8859.2563
2020-05-04,8277.4081,8883.6901
2020-05-05,8331.8416,8965.7708
2020-05-06,8348.4833,8904.9924
2020-05-07,8465.4236,9012.4481
2020-05-08,8637.7580,9161.5661
2020-05-11,8649.1929,9163.4475
2020-05-12,8432.1193,8980.8067
2020-05-13,8198.2624,8821.9737
2020-05-14,8271.9043,8927.5500
2020-05-15,8321.1969,8968.5872
2020-05-18,8549.1452,9241.7673
2020-05-19,8452.8593,9146.8442
2020-05-20,8543.9045,9302.2285
2020-05-21,8452.4099,9238.0065
2020-05-22,8464.0261,9255.5511
2020-05-26,8624.5861,9369.5872
2020-05-27,8834.7076,9508.9953
2020-05-28,8727.0884,9491.4538
2020-05-29,8746.1437,9533.7453
2020-06-01,8745.0625,9572.2791
2020-06-02,8812.1315,9651.5370
2020-06-03,9007.8665,9779.9799
2020-06-04,8967.6198,9754.2938
2020-06-05,9085.1025,10004.2923
2020-06-08,9101.4145,10125.2177
2020-06-09,8964.4121,10049.7195
2020-06-10,8899.7040,9993.6411
2020-06-11,8486.1612,9417.5168
2020-06-12,8548.3402,9530.2986
2020-06-15,8622.3645,9619.2706
2020-06-16,8695.4470,9804.4179
2020-06-17,8659.0570,9763.6937
2020-06-18,8561.5544,9767.4535
2020-06-19,8492.1416,9711.6310
2020-06-22,8504.2348,9773.9341
2020-06-23,8615.0955,9818.9307
2020-06-24,8394.8295,9568.4632
2020-06-25,8526.4386,9671.0421
2020-06-26,8376.6616,9441.3401
2020-06-29,8581.7709,9580.1044
2020-06-30,8646.8121,9702.8228
2020-07-01,8629.1573,9770.7879
2020-07-02,8683.9311,9824.5948
2020-07-06,8762.4133,9976.2599
2020-07-07,8627.8934,9873.3668
2020-07-08,8646.0500,9948.8868
2020-07-09,8563.5638,9892.2458
2020-07-10,8628.6528,9993.2511
